Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Macau,Macau,2020-1-28,7,,,
Qinghai,Mainland China,2020-1-28,6,,,
Washington,United States,2020-1-28,1,,,
Illinois,United States,2020-1-28,1,,,
California,United States,2020-1-28,2,,,
Arizona,United States,2020-1-28,1,,,
,Japan,2020-1-28,7,,1,
,Thailand,2020-1-28,14,,5,
,South Korea,2020-1-28,4,,,
,Singapore,2020-1-28,7,,,
,Vietnam,2020-1-28,2,,,
,France,2020-1-28,4,,,
,Nepal,2020-1-28,1,,,
,Malaysia,2020-1-28,7,,,
Ontario,Canada,2020-1-28,1,,,
British Columbia,Canada,2020-1-28,1,,,
,Cambodia,2020-1-28,1,,,
,Sri Lanka,2020-1-28,1,,,
New South Wales,Australia,2020-1-28,4,,,
Victoria,Australia,2020-1-28,1,,,
Bavaria,Germany,2020-1-28,4,,,
Hubei,Mainland China,2020-1-28,3554,,80,125
Guangdong,Mainland China,2020-1-28,207,,4,
Zhejiang,Mainland China,2020-1-28,173,,3,
Henan,Mainland China,2020-1-28,168,,,1
Hunan,Mainland China,2020-1-28,143,,,
Chongqing,Mainland China,2020-1-28,132,,,
Jiangxi,Mainland China,2020-1-28,109,,3,
Anhui,Mainland China,2020-1-28,106,,,
Shandong,Mainland China,2020-1-28,95,,,
Beijing,Mainland China,2020-1-28,91,,4,1
Sichuan,Mainland China,2020-1-28,90,,,
Fujian,Mainland China,2020-1-28,80,,,
Jiangsu,Mainland China,2020-1-28,70,,1,
Shanghai,Mainland China,2020-1-28,66,,4,1
Guangxi,Mainland China,2020-1-28,51,,2,
Shaanxi,Mainland China,2020-1-28,46,,,
Yunnan,Mainland China,2020-1-28,44,,,
Hainan,Mainland China,2020-1-28,40,,,1
Liaoning,Mainland China,2020-1-28,34,,,
Hebei,Mainland China,2020-1-28,33,,,1
Heilongjiang,Mainland China,2020-1-28,33,,,1
Shanxi,Mainland China,2020-1-28,27,,,
Tianjin,Mainland China,2020-1-28,24,,,
Gansu,Mainland China,2020-1-28,19,,,
Inner Mongolia,Mainland China,2020-1-28,15,,,
Ningxia,Mainland China,2020-1-28,11,,,
Xinjiang,Mainland China,2020-1-28,10,,,
Guizhou,Mainland China,2020-1-28,9,,,
Jilin,Mainland China,2020-1-28,8,,,
Taiwan,Taiwan,2020-1-28,8,,,
Hong Kong,Hong Kong,2020-1-28,8,,,
Macau,Macau,2020-1-28,7,,,
Qinghai,Mainland China,2020-1-28,6,,,
Washington,United States,2020-1-28,1,,,
Illinois,United States,2020-1-28,1,,,
California,United States,2020-1-28,2,,,
Arizona,United States,2020-1-28,1,,,
,Japan,2020-1-28,7,,1,
,Thailand,2020-1-28,14,,5,
,South Korea,2020-1-28,4,,,
,Singapore,2020-1-28,7,,,
,Vietnam,2020-1-28,2,,,
,France,2020-1-28,4,,,
,Nepal,2020-1-28,1,,,
,Malaysia,2020-1-28,4,,,
Ontario,Canada,2020-1-28,1,,,
British Columbia,Canada,2020-1-28,1,,,
,Cambodia,2020-1-28,1,,,
,Sri Lanka,2020-1-28,1,,,
New South Wales,Australia,2020-1-28,4,,,
Victoria,Australia,2020-1-28,1,,,
Bavaria,Germany,2020-1-28,4,,,
Hubei,Mainland China,2020-1-28,2714,,52,100
Guangdong,Mainland China,2020-1-28,207,,4,
Zhejiang,Mainland China,2020-1-28,173,,3,
Henan,Mainland China,2020-1-28,168,,,1
Hunan,Mainland China,2020-1-28,143,,,
Chongqing,Mainland China,2020-1-28,132,,,
Anhui,Mainland China,2020-1-28,106,,,
Shandong,Mainland China,2020-1-28,95,,,
Beijing,Mainland China,2020-1-28,91,,4,1
Sichuan,Mainland China,2020-1-28,90,,,
Fujian,Mainland China,2020-1-28,80,,,
Jiangxi,Mainland China,2020-1-28,72,,3,
Jiangsu,Mainland China,2020-1-28,70,,1,
Shanghai,Mainland China,2020-1-28,66,,4,1
Guangxi,Mainland China,2020-1-28,51,,2,
Shaanxi,Mainland China,2020-1-28,46,,,
Yunnan,Mainland China,2020-1-28,44,,,
Hainan,Mainland China,2020-1-28,40,,,1
Liaoning,Mainland China,2020-1-28,34,,,
Heilongjiang,Mainland China,2020-1-28,33,,,1
Hebei,Mainland China,2020-1-28,33,,,1
Tianjin,Mainland China,2020-1-28,24,,,
Shanxi,Mainland China,2020-1-28,20,,,
Gansu,Mainland China,2020-1-28,19,,,
Inner Mongolia,Mainland China,2020-1-28,15,,,
Ningxia,Mainland China,2020-1-28,11,,,
Xinjiang,Mainland China,2020-1-28,10,,,
Guizhou,Mainland China,2020-1-28,9,,,
Jilin,Mainland China,2020-1-28,8,,,
Taiwan,Taiwan,2020-1-28,8,,,
Hong Kong,Hong Kong,2020-1-28,8,,,
Macau,Macau,2020-1-28,7,,,
Qinghai,Mainland China,2020-1-28,6,,,
Washington,United States,2020-1-28,1,,,
Illinois,United States,2020-1-28,1,,,
California,United States,2020-1-28,2,,,
Arizona,United States,2020-1-28,1,,,
,Japan,2020-1-28,7,,1,
,Thailand,2020-1-28,14,,5,
,South Korea,2020-1-28,4,,,
,Singapore,2020-1-28,7,,,
,Vietnam,2020-1-28,2,,,
,France,2020-1-28,3,,,
,Nepal,2020-1-28,1,,,
,Malaysia,2020-1-28,4,,,
Ontario,Canada,2020-1-28,2,,,
,Cambodia,2020-1-28,1,,,
,Sri Lanka,2020-1-28,1,,,
New South Wales,Australia,2020-1-28,4,,,
Victoria,Australia,2020-1-28,1,,,
Bavaria,Germany,2020-1-28,1,,,
Hubei,Mainland China,2020-1-27,2714,,47,100
Zhejiang,Mainland China,2020-1-27,173,,1,
Henan,Mainland China,2020-1-27,168,,,1
Guangdong,Mainland China,2020-1-27,151,,4,
Chongqing,Mainland China,2020-1-27,132,,,
Anhui,Mainland China,2020-1-27,106,,,
Hunan,Mainland China,2020-1-27,100,,,
Sichuan,Mainland China,2020-1-27,90,,,
Shandong,Mainland China,2020-1-27,87,,,1
Beijing,Mainland China,2020-1-27,80,,2,1
Jiangxi,Mainland China,2020-1-27,72,,2,
Jiangsu,Mainland China,2020-1-27,70,,1,
Shanghai,Mainland China,2020-1-27,66,,3,1
Fujian,Mainland China,2020-1-27,59,,,
Guangxi,Mainland China,2020-1-27,51,,,
Shaanxi,Mainland China,2020-1-27,35,,,
Hainan,Mainland China,2020-1-27,33,,,1
Hebei,Mainland China,2020-1-27,33,,,1
Heilongjiang,Mainland China,2020-1-27,30,,,1
Liaoning,Mainland China,2020-1-27,27,,,
Yunnan,Mainland China,2020-1-27,26,,,
Tianjin,Mainland China,2020-1-27,23,,,
Shanxi,Mainland China,2020-1-27,20,,,
Gansu,Mainland China,2020-1-27,19,,,
Inner Mongolia,Mainland China,2020-1-27,11,,,
Guizhou,Mainland China,2020-1-27,9,,,
Hong Kong,Hong Kong,2020-1-27,8,,,
Ningxia,Mainland China,2020-1-27,7,,,
Jilin,Mainland China,2020-1-27,6,,,
Macau,Macau,2020-1-27,6,,,
Qinghai,Mainland China,2020-1-27,6,,,
Taiwan,Taiwan,2020-1-27,5,,,
Xinjiang,Mainland China,2020-1-27,5,,,
Washington,United States,2020-1-27,1,,,
Illinois,United States,2020-1-27,1,,,
California,United States,2020-1-27,2,,,
Arizona,United States,2020-1-27,1,,,
,Japan,2020-1-27,4,,1,
,Thailand,2020-1-27,8,,2,
,South Korea,2020-1-27,4,,,
,Singapore,2020-1-27,5,,,
,Vietnam,2020-1-27,2,,,
,France,2020-1-27,3,,,
,Nepal,2020-1-27,1,,,
,Malaysia,2020-1-27,4,,,
Ontario,Canada,2020-1-27,1,,,
,Cambodia,2020-1-27,1,,,
,Sri Lanka,2020-1-27,1,,,
,Ivory Coast,2020-1-27,,,,
New South Wales,Australia,2020-1-27,4,,,
Victoria,Australia,2020-1-27,1,,,
Bavaria,Germany,2020-1-27,1,,,
Hubei,Mainland China,2020-1-27,1423,,45,76
Guangdong,Mainland China,2020-1-27,151,,4,
Zhejiang,Mainland China,2020-1-27,128,,1,
Henan,Mainland China,2020-1-27,128,,,1
Chongqing,Mainland China,2020-1-27,110,,,
Hunan,Mainland China,2020-1-27,100,,,
Beijing,Mainland China,2020-1-27,80,,2,1
Shandong,Mainland China,2020-1-27,75,,,
Jiangxi,Mainland China,2020-1-27,72,,2,
Anhui,Mainland China,2020-1-27,70,,,
Sichuan,Mainland China,2020-1-27,69,,,
Fujian,Mainland China,2020-1-27,59,,,
Shanghai,Mainland China,2020-1-27,53,,3,1
Jiangsu,Mainland China,2020-1-27,47,,1,
Guangxi,Mainland China,2020-1-27,46,,,
Shaanxi,Mainland China,2020-1-27,35,,,
Hainan,Mainland China,2020-1-27,33,,,1
Liaoning,Mainland China,2020-1-27,27,,,
Yunnan,Mainland China,2020-1-27,26,,,
Tianjin,Mainland China,2020-1-27,23,,,
Heilongjiang,Mainland China,2020-1-27,21,,,1
Hebei,Mainland China,2020-1-27,18,,,1
Gansu,Mainland China,2020-1-27,14,,,
Shanxi,Mainland China,2020-1-27,13,,,
Inner Mongolia,Mainland China,2020-1-27,11,,,
Hong Kong,Hong Kong,2020-1-27,8,,,
Guizhou,Mainland China,2020-1-27,7,,,
Ningxia,Mainland China,2020-1-27,7,,,
Jilin,Mainland China,2020-1-27,6,,,
Macau,Macau,2020-1-27,6,,,
Qinghai,Mainland China,2020-1-27,6,,,
Taiwan,Taiwan,2020-1-27,5,,,
Xinjiang,Mainland China,2020-1-27,5,,,
Washington,United States,2020-1-27,1,,,
Illinois,United States,2020-1-27,1,,,
California,United States,2020-1-27,2,,,
Arizona,United States,2020-1-27,1,,,
,Japan,2020-1-27,4,,1,
,Thailand,2020-1-27,8,,2,
,South Korea,2020-1-27,4,,,
,Singapore,2020-1-27,5,,,
,Vietnam,2020-1-27,2,,,
,France,2020-1-27,3,,,
,Nepal,2020-1-27,1,,,
,Malaysia,2020-1-27,4,,,
Ontario,Canada,2020-1-27,1,,,
,Cambodia,2020-1-27,1,,,
,Sri Lanka,2020-1-27,1,,,
,Ivory Coast,2020-1-27,1,,,
New South Wales,Australia,2020-1-27,4,,,
Victoria,Australia,2020-1-27,1,,,
Hubei,Mainland China,2020-1-27 9,1423,,45,76
Guangdong,Mainland China,2020-1-27 9,151,,3,
Zhejiang,Mainland China,2020-1-27 9,128,,1,
Henan,Mainland China,2020-1-27 9,128,,,
Chongqing,Mainland China,2020-1-27 9,110,,,1
Hunan,Mainland China,2020-1-27 9,100,,,
Shandong,Mainland China,2020-1-27 9,75,,,
Beijing,Mainland China,2020-1-27 9,72,,2,
Anhui,Mainland China,2020-1-27 9,70,,,
Sichuan,Mainland China,2020-1-27 9,69,,,
Fujian,Mainland China,2020-1-27 9,56,,,
Shanghai,Mainland China,2020-1-27 9,53,,3,1
Jiangxi,Mainland China,2020-1-27 9,48,,1,
Jiangsu,Mainland China,2020-1-27 9,47,,1,
Guangxi,Mainland China,2020-1-27 9,46,,,
Shaanxi,Mainland China,2020-1-27 9,35,,,
Hainan,Mainland China,2020-1-27 9,33,,,1
Liaoning,Mainland China,2020-1-27 9,27,,,
Yunnan,Mainland China,2020-1-27 9,26,,,
Tianjin,Mainland China,2020-1-27 9,22,,,
Heilongjiang,Mainland China,2020-1-27 9,21,,,1
Hebei,Mainland China,2020-1-27 9,18,,,1
Gansu,Mainland China,2020-1-27 9,14,,,
Shanxi,Mainland China,2020-1-27 9,13,,,
Inner Mongolia,Mainland China,2020-1-27 9,11,,,
Hong Kong,Hong Kong,2020-1-27 9,8,,,
Guizhou,Mainland China,2020-1-27 9,7,,,
Ningxia,Mainland China,2020-1-27 9,7,,,
Jilin,Mainland China,2020-1-27 9,6,,,
Macau,Macau,2020-1-27 9,6,,,
Taiwan,Taiwan,2020-1-27 9,5,,,
Xinjiang,Mainland China,2020-1-27 9,5,,,
Qinghai,Mainland China,2020-1-27 9,4,,,
Washington,United States,2020-1-27 9,1,,,
Illinois,United States,2020-1-27 9,1,,,
California,United States,2020-1-27 9,2,,,
Arizona,United States,2020-1-27 9,1,,,
,Japan,2020-1-27 9,4,,1,
,Thailand,2020-1-27 9,8,,2,
,South Korea,2020-1-27 9,4,,,
,Singapore,2020-1-27 9,4,,,
,Vietnam,2020-1-27 9,2,,,
,France,2020-1-27 9,3,,,
,Australia,2020-1-27 9,5,,,
,Nepal,2020-1-27 9,1,,,
,Malaysia,2020-1-27 9,4,,,
Ontario,Canada,2020-1-27 9,1,,,
,Cambodia,2020-1-27 9,1,,,
Hubei,Mainland China,2020-1-26,1423,,44,76
Guangdong,Mainland China,2020-1-26,146,,2,
Zhejiang,Mainland China,2020-1-26,128,,1,
Henan,Mainland China,2020-1-26,128,,,1
Chongqing,Mainland China,2020-1-26,110,,,
Hunan,Mainland China,2020-1-26,100,,,
Anhui,Mainland China,2020-1-26,70,,,
Sichuan,Mainland China,2020-1-26,69,,,
Beijing,Mainland China,2020-1-26,68,,2,
Shandong,Mainland China,2020-1-26,63,,,
Shanghai,Mainland China,2020-1-26,53,,1,1
Jiangxi,Mainland China,2020-1-26,48,,,
Jiangsu,Mainland China,2020-1-26,47,,1,
Guangxi,Mainland China,2020-1-26,46,,,
Fujian,Mainland China,2020-1-26,35,,,
Liaoning,Mainland China,2020-1-26,23,,,
Hainan,Mainland China,2020-1-26,22,,,
Shaanxi,Mainland China,2020-1-26,22,,,
Heilongjiang,Mainland China,2020-1-26,21,,,1
Yunnan,Mainland China,2020-1-26,19,,,
Hebei,Mainland China,2020-1-26,18,,,1
Tianjin,Mainland China,2020-1-26,14,,,
Gansu,Mainland China,2020-1-26,14,,,
Shanxi,Mainland China,2020-1-26,13,,,
Inner Mongolia,Mainland China,2020-1-26,11,,,
Hong Kong,Hong Kong,2020-1-26,8,,,
Guizhou,Mainland China,2020-1-26,7,,,
Jilin,Mainland China,2020-1-26,6,,,
Macau,Macau,2020-1-26,6,,,
Xinjiang,Mainland China,2020-1-26,5,,,
Ningxia,Mainland China,2020-1-26,4,,,
Taiwan,Taiwan,2020-1-26,4,,,
Qinghai,Mainland China,2020-1-26,4,,,
Washington,United States,2020-1-26,1,,,
Illinois,United States,2020-1-26,1,,,
California,United States,2020-1-26,2,,,
Arizona,United States,2020-1-26,1,,,
,Japan,2020-1-26,4,,1,
,Thailand,2020-1-26,8,,2,
,South Korea,2020-1-26,3,,,
,Singapore,2020-1-26,4,,,
,Vietnam,2020-1-26,2,,,
,France,2020-1-26,3,,,
,Australia,2020-1-26,4,,,
,Nepal,2020-1-26,1,,,
,Malaysia,2020-1-26,4,,,
Ontario,Canada,2020-1-26,1,,,
Hubei,Mainland China,2020-1-26,1058,,42,52
Guangdong,Mainland China,2020-1-26,111,,2,
Zhejiang,Mainland China,2020-1-26,104,,1,
Henan,Mainland China,2020-1-26,83,3,,1
Chongqing,Mainland China,2020-1-26,75,,,
Hunan,Mainland China,2020-1-26,69,,,
Beijing,Mainland China,2020-1-26,68,,2,
Anhui,Mainland China,2020-1-26,60,4,,
Shandong,Mainland China,2020-1-26,46,,,
Sichuan,Mainland China,2020-1-26,44,4,,
Shanghai,Mainland China,2020-1-26,40,72,1,1
Guangxi,Mainland China,2020-1-26,36,,,
Jiangxi,Mainland China,2020-1-26,36,,,
Fujian,Mainland China,2020-1-26,35,20,,
Jiangsu,Mainland China,2020-1-26,33,,1,
Hainan,Mainland China,2020-1-26,22,,,
Shaanxi,Mainland China,2020-1-26,22,,,
Liaoning,Mainland China,2020-1-26,21,,,
Yunnan,Mainland China,2020-1-26,16,36,,
Heilongjiang,Mainland China,2020-1-26,15,,,1
Tianjin,Mainland China,2020-1-26,14,,,
Hebei,Mainland China,2020-1-26,13,,,1
Shanxi,Mainland China,2020-1-26,9,,,
Hong Kong,Hong Kong,2020-1-26,8,244,,
Inner Mongolia,Mainland China,2020-1-26,7,,,
Gansu,Mainland China,2020-1-26,7,,,
Guizhou,Mainland China,2020-1-26,5,,,
Macau,Macau,2020-1-26,5,,,
Ningxia,Mainland China,2020-1-26,4,,,
Jilin,Mainland China,2020-1-26,4,,,
Taiwan,Taiwan,2020-1-26,4,,,
Xinjiang,Mainland China,2020-1-26,4,,,
Qinghai,Mainland China,2020-1-26,1,,,
Washington,United States,2020-1-26,1,,,
Illinois,United States,2020-1-26,1,,,
California,United States,2020-1-26,1,,,
,Japan,2020-1-26,4,,1,
,Thailand,2020-1-26,8,,2,
,South Korea,2020-1-26,3,,,
,Singapore,2020-1-26,4,,,
,Vietnam,2020-1-26,2,,,
,France,2020-1-26,3,,,
,Australia,2020-1-26,4,,,
,Nepal,2020-1-26,1,,,
,Malaysia,2020-1-26,4,,,
Ontario,Canada,2020-1-26,1,,,
Hubei,Mainland China,2020-1-25,1052,,42,52
Zhejiang,Mainland China,2020-1-25,104,,1,
Guangdong,Mainland China,2020-1-25,98,,2,
Henan,Mainland China,2020-1-25,83,3,,1
Chongqing,Mainland China,2020-1-25,75,,,
Hunan,Mainland China,2020-1-25,69,,,
Anhui,Mainland China,2020-1-25,60,4,,
Beijing,Mainland China,2020-1-25,51,,2,
Sichuan,Mainland China,2020-1-25,44,4,,
Shanghai,Mainland China,2020-1-25,40,72,1,1
Shandong,Mainland China,2020-1-25,39,,,
Jiangxi,Mainland China,2020-1-25,36,,,
Guangxi,Mainland China,2020-1-25,33,,,
Jiangsu,Mainland China,2020-1-25,31,,1,
Hainan,Mainland China,2020-1-25,19,,,
Liaoning,Mainland China,2020-1-25,19,,,
Fujian,Mainland China,2020-1-25,18,20,,1
Heilongjiang,Mainland China,2020-1-25,15,,,
Shaanxi,Mainland China,2020-1-25,15,,,
Tianjin,Mainland China,2020-1-25,13,,,
Hebei,Mainland China,2020-1-25,13,,,1
Yunnan,Mainland China,2020-1-25,11,58,,
Shanxi,Mainland China,2020-1-25,9,,,
Inner Mongolia,Mainland China,2020-1-25,7,,,
Gansu,Mainland China,2020-1-25,7,,,
Guizhou,Mainland China,2020-1-25,5,,,
Hong Kong,Hong Kong,2020-1-25,5,244,,
Ningxia,Mainland China,2020-1-25,4,1,,
Jilin,Mainland China,2020-1-25,4,,,
Xinjiang,Mainland China,2020-1-25,4,,,
Taiwan,Taiwan,2020-1-25,3,,,
Macau,Macau,2020-1-25,2,,,
Qinghai,Mainland China,2020-1-25,1,,,
Washington,United States,2020-1-25,1,,,
Illinois,United States,2020-1-25,1,,,
,Japan,2020-1-25,2,,,
,Thailand,2020-1-25,7,,,
,South Korea,2020-1-25,3,,,
,Singapore,2020-1-25,3,,,
,Vietnam,2020-1-25,2,,,
,France,2020-1-25,3,,,
,Australia,2020-1-25,4,,,
,Nepal,2020-1-25,1,,,
,Malaysia,2020-1-25,3,,,
Hubei,Mainland China,2020-1-25,761,,32,40
Guangdong,Mainland China,2020-1-25,78,,2,
Zhejiang,Mainland China,2020-1-25,62,,1,
Chongqing,Mainland China,2020-1-25,57,,,
Hunan,Mainland China,2020-1-25,43,,,
Beijing,Mainland China,2020-1-25,41,,2,
Anhui,Mainland China,2020-1-25,39,4,,
Shanghai,Mainland China,2020-1-25,33,72,1,
Henan,Mainland China,2020-1-25,32,1,,
Sichuan,Mainland China,2020-1-25,28,4,,
Shandong,Mainland China,2020-1-25,27,,,
Guangxi,Mainland China,2020-1-25,23,,,
Hainan,Mainland China,2020-1-25,19,,,
Jiangxi,Mainland China,2020-1-25,18,,,
Fujian,Mainland China,2020-1-25,18,20,,
Jiangsu,Mainland China,2020-1-25,18,,1,
Liaoning,Mainland China,2020-1-25,17,,,
Shaanxi,Mainland China,2020-1-25,15,,,
Yunnan,Mainland China,2020-1-25,11,58,,
Tianjin,Mainland China,2020-1-25,10,,,
Heilongjiang,Mainland China,2020-1-25,9,,,1
Hebei,Mainland China,2020-1-25,8,,,1
Inner Mongolia,Mainland China,2020-1-25,7,,,
Shanxi,Mainland China,2020-1-25,6,,,
Hong Kong,Hong Kong,2020-1-25,5,244,,
Guizhou,Mainland China,2020-1-25,4,,,
Jilin,Mainland China,2020-1-25,4,,,
Gansu,Mainland China,2020-1-25,4,,,
Ningxia,Mainland China,2020-1-25,3,1,,
Taiwan,Taiwan,2020-1-25,3,,,
Xinjiang,Mainland China,2020-1-25,3,,,
Macau,Macau,2020-1-25,2,,,
Qinghai,Mainland China,2020-1-25,1,,,
Washington,United States,2020-1-25,1,,,
Illinois,United States,2020-1-25,1,,,
,Japan,2020-1-25,2,,,
,Thailand,2020-1-25,7,,,
,South Korea,2020-1-25,2,,,
,Singapore,2020-1-25,3,,,
,Vietnam,2020-1-25,2,,,
,France,2020-1-25,3,,,
,Australia,2020-1-25,4,,,
,Nepal,2020-1-25,1,,,
,Malaysia,2020-1-25,3,,,
Hubei,Mainland China,2020-1-25,729,,32,39
Guangdong,Mainland China,2020-1-25,78,,2,
Zhejiang,Mainland China,2020-1-25,62,,1,
Chongqing,Mainland China,2020-1-25,57,,,
Hunan,Mainland China,2020-1-25,43,,,
Anhui,Mainland China,2020-1-25,39,4,,
Beijing,Mainland China,2020-1-25,36,,1,
Shanghai,Mainland China,2020-1-25,33,22,1,
Henan,Mainland China,2020-1-25,32,1,,
Sichuan,Mainland China,2020-1-25,28,4,,
Guangxi,Mainland China,2020-1-25,23,,,
Shandong,Mainland China,2020-1-25,21,,,
Jiangxi,Mainland China,2020-1-25,18,,,
Jiangsu,Mainland China,2020-1-25,18,,1,
Hainan,Mainland China,2020-1-25,17,,,
Liaoning,Mainland China,2020-1-25,15,,,
Fujian,Mainland China,2020-1-25,10,4,,
Heilongjiang,Mainland China,2020-1-25,9,,,1
Tianjin,Mainland China,2020-1-25,8,,,
Hebei,Mainland China,2020-1-25,8,,,1
Shanxi,Mainland China,2020-1-25,6,,,
Yunnan,Mainland China,2020-1-25,5,,,
Hong Kong,Hong Kong,2020-1-25,5,36,,
Shaanxi,Mainland China,2020-1-25,5,,,
Guizhou,Mainland China,2020-1-25,4,,,
Jilin,Mainland China,2020-1-25,4,,,
Gansu,Mainland China,2020-1-25,4,,,
Ningxia,Mainland China,2020-1-25,3,1,,
Taiwan,Taiwan,2020-1-25,3,,,
Xinjiang,Mainland China,2020-1-25,3,,,
Macau,Macau,2020-1-25,2,,,
Inner Mongolia,Mainland China,2020-1-25,2,,,
Qinghai,Mainland China,2020-1-25,,1,,
Washington,United States,2020-1-25,1,,,
Illinois,United States,2020-1-25,1,,,
,Japan,2020-1-25,2,,,
,Thailand,2020-1-25,5,,,
,South Korea,2020-1-25,2,,,
,Singapore,2020-1-25,3,,,
,Vietnam,2020-1-25,2,,,
,France,2020-1-25,3,,,
,Australia,2020-1-25,1,,,
,Nepal,2020-1-25,1,,,
,Malaysia,2020-1-25,3,,,
Hubei,Mainland China,2020-1-24,549,,31,24
Guangdong,Mainland China,2020-1-24,53,,2,
Zhejiang,Mainland China,2020-1-24,43,,1,
Beijing,Mainland China,2020-1-24,36,,1,
Chongqing,Mainland China,2020-1-24,27,13,,
Hunan,Mainland China,2020-1-24,24,,,
Guangxi,Mainland China,2020-1-24,23,,,
Shanghai,Mainland China,2020-1-24,20,22,1,
Jiangxi,Mainland China,2020-1-24,18,,,
Sichuan,Mainland China,2020-1-24,15,4,,
Shandong,Mainland China,2020-1-24,15,,,
Anhui,Mainland China,2020-1-24,15,4,,
Fujian,Mainland China,2020-1-24,10,2,,
Henan,Mainland China,2020-1-24,9,42,,
Jiangsu,Mainland China,2020-1-24,9,,,
Hainan,Mainland China,2020-1-24,8,32,,
Tianjin,Mainland China,2020-1-24,8,,,
Yunnan,Mainland China,2020-1-24,5,,,
Shaanxi,Mainland China,2020-1-24,5,,,
Heilongjiang,Mainland China,2020-1-24,4,,,1
Liaoning,Mainland China,2020-1-24,4,,,
Guizhou,Mainland China,2020-1-24,3,,,
Jilin,Mainland China,2020-1-24,3,,,
Taiwan,Taiwan,2020-1-24,3,,,
Ningxia,Mainland China,2020-1-24,2,1,,
Hong Kong,Hong Kong,2020-1-24,2,36,,
Macau,Macau,2020-1-24,2,,,
Hebei,Mainland China,2020-1-24,2,,,1
Gansu,Mainland China,2020-1-24,2,,,
Xinjiang,Mainland China,2020-1-24,2,,,
Shanxi,Mainland China,2020-1-24,1,,,
Inner Mongolia,Mainland China,2020-1-24,1,2,,
Qinghai,Mainland China,2020-1-24,,1,,
Washington,United States,2020-1-24,1,,,
Chicago,United States,2020-1-24,1,,,
,Japan,2020-1-24,2,,,
,Thailand,2020-1-24,5,,,
,South Korea,2020-1-24,2,,,
,Singapore,2020-1-24,3,,,
,Vietnam,2020-1-24,2,,,
,France,2020-1-24 4 PM,2,,,
Hubei,Mainland China,2020-1-24,549,,31,24
Guangdong,Mainland China,2020-1-24,53,,2,
Zhejiang,Mainland China,2020-1-24,43,,1,
Beijing,Mainland China,2020-1-24,26,22,,
Shanghai,Mainland China,2020-1-24,20,,,
Hunan,Mainland China,2020-1-24,24,,,
Anhui,Mainland China,2020-1-24,15,4,,
Chongqing,Mainland China,2020-1-24,27,13,,
Sichuan,Mainland China,2020-1-24,15,4,,
Shandong,Mainland China,2020-1-24,9,,,
Guangxi,Mainland China,2020-1-24,13,,,
Fujian,Mainland China,2020-1-24,5,2,,
Jiangsu,Mainland China,2020-1-24,9,,,
Henan,Mainland China,2020-1-24,9,,,
Hainan,Mainland China,2020-1-24,8,32,,
Tianjin,Mainland China,2020-1-24,5,,,
Jiangxi,Mainland China,2020-1-24,7,,,
Shaanxi,Mainland China,2020-1-24,3,,,
Guizhou,Mainland China,2020-1-24,3,,,
Liaoning,Mainland China,2020-1-24,4,,,
Hong Kong,Hong Kong,2020-1-24,2,36,,
Heilongjiang,Mainland China,2020-1-24,4,,,1
Macau,Macau,2020-1-24,2,,,
Xinjiang,Mainland China,2020-1-24,2,,,
Gansu,Mainland China,2020-1-24,2,,,
Yunnan,Mainland China,2020-1-24,2,,,
Taiwan,Taiwan,2020-1-24,1,,,
Shanxi,Mainland China,2020-1-24,1,,,
Jilin,Mainland China,2020-1-24,3,,,
Hebei,Mainland China,2020-1-24,2,,,1
Ningxia,Mainland China,2020-1-24,1,,,
Inner Mongolia,Mainland China,2020-1-24,1,2,,
Washington,United States,2020-1-24,1,,,
,Japan,2020-1-24,2,,,
,Thailand,2020-1-24,4,,,
,South Korea,2020-1-24,1,,,
,Singapore,2020-1-24,1,,,
,Vietnam,2020-1-24,2,,,
Anhui,Mainland China,2020-1-23,9,4,,
Beijing,Mainland China,2020-1-23,22,,,
Chongqing,Mainland China,2020-1-23,9,,,
Fujian,Mainland China,2020-1-23,5,2,,
Gansu,Mainland China,2020-1-23,2,,,
Guangdong,Mainland China,2020-1-23,32,1,2,
Guangxi,Mainland China,2020-1-23,5,,,
Guizhou,Mainland China,2020-1-23,3,,,
Hainan,Mainland China,2020-1-23,5,32,,
Hebei,Mainland China,2020-1-23,1,,,1
Heilongjiang,Mainland China,2020-1-23,2,,,
Henan,Mainland China,2020-1-23,5,,,
Hong Kong,Hong Kong,2020-1-23,2,65,,
Hubei,Mainland China,2020-1-23,444,,28,17
Hunan,Mainland China,2020-1-23,9,,,
Inner Mongolia,Mainland China,2020-1-23,,1,,
Jiangsu,Mainland China,2020-1-23,5,,,
Jiangxi,Mainland China,2020-1-23,7,,,
Jilin,Mainland China,2020-1-23,1,,,
Liaoning,Mainland China,2020-1-23,3,,,
Macau,Macau,2020-1-23,2,,,
Ningxia,Mainland China,2020-1-23,1,,,
Qinghai,Mainland China,2020-1-23,,,,
Shaanxi,Mainland China,2020-1-23,3,1,,
Shandong,Mainland China,2020-1-23,6,2,,
Shanghai,Mainland China,2020-1-23,16,22,,
Shanxi,Mainland China,2020-1-23,1,,,
Sichuan,Mainland China,2020-1-23,8,2,,
Taiwan,Taiwan,2020-1-23,1,,,
Tianjin,Mainland China,2020-1-23,4,,,
Tibet,Mainland China,2020-1-23,,,,
Washington,United States,2020-1-23,1,,,
